line_item_id,identity_time_interval,bill_payer_account_id,usage_account_id,line_item_type,usage_start_date,usage_end_date,product_code,usage_type,operation,availability_zone,resource_id,usage_amount,normalized_usage_amount,currency_code,unblended_rate,unblended_cost,blended_rate,blended_cost,cost_center,team,project,environment
1,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
2,2024-01-01T01:00:00Z/2024-01-01T02:00:00Z,123456789012,123456789012,Usage,2024-01-01T01:00:00Z,2024-01-01T02:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
3,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonS3,StorageObjectCount,StandardStorage,,s3-bucket-data-lake,1500000,1500000,USD,0.0,0.0,0.0,0.0,CC-12345,Data,data-lake,prod
4,2024-01-01T00:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,s3-bucket-data-lake,10995116277760.0,10995116277760.0,USD,0.000000031944,351.21,0.000000031944,351.21,CC-12345,Data,data-lake,prod
5,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonS3,Requests-Tier1,GetObject,,s3-bucket-data-lake,50000,50000,USD,0.0000004,0.02,0.0000004,0.02,CC-12345,Data,data-lake,prod
6,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonRDS,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1a,db-prod-analytics,1.0,1.0,USD,0.192,0.192,0.192,0.192,CC-12345,Data,analytics,prod
7,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSLambda,Lambda-GB-Second,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,1250.5,1250.5,USD,0.0000166667,0.021,0.0000166667,0.021,CC-67890,Data,etl-pipeline,prod
8,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSLambda,Request,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,2500,2500,USD,0.0000002,0.0005,0.0000002,0.0005,CC-67890,Data,etl-pipeline,prod
9,2024-01-01T00:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,AmazonDynamoDB,TimedPieceStorage-ByteHrs,StandardStorage,,users-table,107374182400.0,107374182400.0,USD,0.000000034722,3.73,0.000000034722,3.73,CC-12345,Engineering,api-backend,prod
10,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSGlue,PythonShell-DPUHour,RunJob,,glue-job-daily-etl,2.5,2.5,USD,0.44,1.10,0.44,1.10,CC-67890,Data,etl-pipeline,prod
